lat,lon,speed,temperature
-37.854919,145.119292,15.58,12.98
-37.847483,145.118693,42.82,14.30
-37.851901,145.114449,28.87,19.50
-37.852268,145.116498,62.69,18.91
-37.848960,145.114494,18.83,13.59
-37.847693,145.114120,55.31,16.08
-37.854035,145.117395,76.01,21.63
-37.852984,145.117977,24.79,14.09
-37.848807,145.111281,76.29,11.55
-37.854384,145.118329,35.21,12.95
-37.851411,145.112955,68.40,17.23
-37.853235,145.112107,46.34,14.37
-37.845000,145.110000,2.84,22.40
-37.855000,145.117204,16.45,21.11
-37.854851,145.114807,97.65,12.89
-37.855000,145.114343,65.69,12.96
-37.852585,145.113624,9.60,15.39
-37.855000,145.112598,93.99,17.33
-37.846685,145.113194,59.32,24.38
-37.855000,145.117259,9.88,20.48
-37.852793,145.113662,94.66,21.25
-37.855000,145.114864,18.30,23.83
-37.855000,145.110000,81.85,18.90
-37.849345,145.110471,50.43,24.24
-37.847797,145.117108,91.39,10.13
-37.854024,145.114086,89.77,23.71
-37.851615,145.114439,99.08,13.67
-37.852848,145.111103,35.43,21.84
-37.855000,145.117403,63.77,18.99
-37.852445,145.115040,92.49,16.90
-37.853533,145.117814,97.61,16.01
-37.848030,145.116304,3.69,15.79
-37.854598,145.115575,76.08,14.07
-37.854936,145.113919,18.72,23.77
-37.855000,145.112569,76.81,13.52
-37.851753,145.115254,80.75,15.34
-37.852144,145.115543,26.47,21.85
-37.849916,145.116019,80.17,19.77
-37.855000,145.115612,99.51,13.87
-37.848276,145.113389,32.33,16.18
-37.845246,145.120000,88.56,14.43
-37.849453,145.117024,34.41,15.43
-37.847516,145.110512,43.02,23.36
-37.853499,145.112810,49.95,14.23
-37.855000,145.116375,5.86,15.76
-37.845000,145.120000,84.32,20.73
-37.847063,145.110694,41.77,19.47
-37.854973,145.120000,26.75,19.82
-37.855000,145.110000,45.75,24.68
-37.846424,145.118503,94.61,19.22
-37.845000,145.120000,46.56,12.45
-37.852287,145.120000,92.67,17.92
-37.845351,145.111845,52.95,16.49
-37.854352,145.110278,69.33,18.16
-37.845000,145.117151,86.17,19.67
-37.855000,145.110000,7.21,10.91
-37.848372,145.116740,69.07,24.67
-37.845000,145.110000,48.62,23.28
-37.845000,145.119136,58.80,21.49
-37.845000,145.114105,59.38,19.09
-37.845000,145.112109,72.40,15.46
-37.854410,145.111204,90.70,20.97
